ensembl,pathways
ENSP00000011653,"['hsa04060', 'hsa04514', 'hsa04612', 'hsa04640', 'hsa04658', 'hsa04659', 'hsa04660']"
ENSP00000250244,['hsa04142']
ENSP00000409667,"['hsa00562', 'hsa04070']"
ENSP00000243298,unknown
ENSP00000348602,"['hsa04144', 'hsa04666']"
ENSP00000279281,unknown
ENSP00000310832,"['hsa04142', 'hsa04210']"
ENSP00000345195,['hsa04141']
ENSP00000263904,"['hsa04144', 'hsa04630']"
ENSP00000294742,"['hsa04144', 'hsa04666']"
ENSP00000302728,"['hsa00040', 'hsa00531', 'hsa00860', 'hsa00983', 'hsa04142']"
ENSP00000303522,"['hsa04020', 'hsa04080']"
ENSP00000306157,"['hsa04060', 'hsa04068', 'hsa04151', 'hsa04630', 'hsa04640']"
ENSP00000313391,['hsa04144']
ENSP00000349824,unknown
ENSP00000366746,"['hsa04144', 'hsa04630']"
ENSP00000384615,unknown
ENSP00000447053,"['hsa04014', 'hsa04144', 'hsa04145']"
ENSP00000247461,"['hsa04141', 'hsa04145', 'hsa04612', 'hsa04918']"
ENSP00000003084,"['hsa02010', 'hsa04024', 'hsa04152', 'hsa04530']"
ENSP00000317332,unknown
ENSP00000362480,['hsa04144']
ENSP00000324419,unknown
ENSP00000316454,unknown
ENSP00000413625,unknown
ENSP00000218516,"['hsa00052', 'hsa00561', 'hsa00600', 'hsa00603', 'hsa04142']"
ENSP00000259711,unknown
ENSP00000363229,unknown
ENSP00000369647,"['hsa04072', 'hsa04080']"
ENSP00000311300,"['hsa04142', 'hsa04210']"
ENSP00000317955,"['hsa04144', 'hsa04145']"
ENSP00000005340,"['hsa04150', 'hsa04310', 'hsa04330', 'hsa04390', 'hsa04550', 'hsa04916']"
ENSP00000316779,"['hsa04144', 'hsa04666']"
ENSP00000299138,['hsa04144']
ENSP00000324628,unknown
ENSP00000320117,['hsa04910']
ENSP00000263816,"['hsa04340', 'hsa04918']"
ENSP00000264033,"['hsa04012', 'hsa04120', 'hsa04144', 'hsa04910']"
ENSP00000380921,['hsa04144']
ENSP00000305372,"['hsa04020', 'hsa04022', 'hsa04024', 'hsa04080', 'hsa04923', 'hsa04924']"
ENSP00000444957,['hsa04142']
ENSP00000261889,['hsa04144']
ENSP00000357307,unknown
ENSP00000314499,unknown
ENSP00000272322,unknown
ENSP00000392065,unknown
ENSP00000258145,"['hsa00531', 'hsa04142']"
ENSP00000341737,unknown
ENSP00000360183,['hsa04130']
ENSP00000312946,unknown
ENSP00000262139,unknown
ENSP00000349437,"['hsa04142', 'hsa04144']"
ENSP00000473001,unknown
ENSP00000275493,"['hsa04010', 'hsa04012', 'hsa04014', 'hsa04015', 'hsa04020', 'hsa04066', 'hsa04068', 'hsa04072', 'hsa04144', 'hsa04151', 'hsa04510', 'hsa04520', 'hsa04540', 'hsa04630', 'hsa04912', 'hsa04915', 'hsa04921', 'hsa04926', 'hsa04928']"
ENSP00000353224,"['hsa04066', 'hsa04144', 'hsa04145', 'hsa04216', 'hsa04640']"
ENSP00000263270,['hsa04144']
ENSP00000479606,"['hsa04142', 'hsa04144']"
ENSP00000360798,['hsa04144']
ENSP00000376024,unknown
ENSP00000376792,['hsa04130']
ENSP00000385834,"['hsa04066', 'hsa04216']"
ENSP00000333769,unknown
ENSP00000401435,unknown
ENSP00000377015,unknown
ENSP00000265970,"['hsa00562', 'hsa04070']"
ENSP00000351805,"['hsa04072', 'hsa04080']"
ENSP00000454071,"['hsa04144', 'hsa04913', 'hsa04925', 'hsa04927']"
ENSP00000262640,['hsa04130']
ENSP00000264634,"['hsa04150', 'hsa04310', 'hsa04390', 'hsa04550', 'hsa04916']"
ENSP00000247933,"['hsa00531', 'hsa04142']"
ENSP00000482826,unknown
ENSP00000273047,"['hsa04014', 'hsa04144', 'hsa04145']"
ENSP00000292807,['hsa04144']
ENSP00000362639,unknown
ENSP00000356705,"['hsa04072', 'hsa04144']"
ENSP00000369318,unknown
ENSP00000261205,unknown
ENSP00000360154,"['hsa00562', 'hsa04070']"
ENSP00000265062,"['hsa04144', 'hsa04145']"
ENSP00000263864,"['hsa04130', 'hsa04611']"
ENSP00000370719,unknown
ENSP00000304697,['hsa04144']
ENSP00000262942,"['hsa04144', 'hsa04666']"
ENSP00000242285,"['hsa04142', 'hsa04144']"
ENSP00000331201,"['hsa04144', 'hsa04145']"
ENSP00000388107,['hsa03010']
ENSP00000314606,"['hsa00531', 'hsa04142']"
ENSP00000054666,"['hsa04130', 'hsa04145']"
ENSP00000373905,"['hsa04072', 'hsa04144', 'hsa04666']"
ENSP00000327694,['hsa04144']
ENSP00000406209,unknown
ENSP00000386456,unknown
ENSP00000393559,unknown
ENSP00000409952,unknown
ENSP00000450857,unknown
ENSP00000434034,"['hsa04150', 'hsa04310', 'hsa04390', 'hsa04550', 'hsa04916']"
ENSP00000300692,"['hsa04640', 'hsa04658', 'hsa04659', 'hsa04660']"
ENSP00000399745,"['hsa04020', 'hsa04024', 'hsa04080', 'hsa04151']"
ENSP00000336747,unknown
ENSP00000256997,"['hsa00740', 'hsa04142']"
ENSP00000440945,unknown
ENSP00000320543,['hsa04144']
ENSP00000236192,['hsa04130']
ENSP00000265171,"['hsa04010', 'hsa04012', 'hsa04014', 'hsa04015', 'hsa04066', 'hsa04068', 'hsa04072', 'hsa04151', 'hsa04510', 'hsa04540', 'hsa04630']"
ENSP00000263238,['hsa04530']
ENSP00000479762,unknown
ENSP00000367459,unknown
ENSP00000269886,['hsa04144']
ENSP00000367220,['hsa04530']
ENSP00000263354,unknown
ENSP00000318165,['hsa04141']
ENSP00000256637,['hsa04142']
ENSP00000360076,unknown
ENSP00000400459,unknown
ENSP00000320092,['hsa04144']
ENSP00000185150,['hsa04141']
ENSP00000403701,"['hsa04010', 'hsa04062', 'hsa04144', 'hsa04340', 'hsa04926', 'hsa04928', 'hsa04929']"
ENSP00000377664,unknown
ENSP00000272317,['hsa03010']
ENSP00000337053,['hsa04141']
ENSP00000379680,"['hsa00603', 'hsa04142']"
ENSP00000362469,unknown
ENSP00000225927,"['hsa00531', 'hsa04142']"
ENSP00000378394,['hsa04142']
ENSP00000409581,"['hsa04010', 'hsa04062', 'hsa04144', 'hsa04340', 'hsa04926', 'hsa04928', 'hsa04929']"
ENSP00000333298,"['hsa04142', 'hsa04145']"
ENSP00000295685,"['hsa04144', 'hsa04666']"
ENSP00000432083,"['hsa03040', 'hsa04010', 'hsa04141', 'hsa04144', 'hsa04612', 'hsa04915']"
ENSP00000369081,['hsa04141']
ENSP00000362014,"['hsa04072', 'hsa04144']"
ENSP00000420127,unknown
ENSP00000222219,['hsa04142']
ENSP00000387282,unknown
ENSP00000314214,"['hsa04130', 'hsa04911']"
ENSP00000221957,unknown
ENSP00000217971,unknown
ENSP00000393776,unknown
ENSP00000309415,"['hsa04142', 'hsa04144']"
ENSP00000386443,unknown
ENSP00000388996,['hsa04142']
ENSP00000365745,['hsa04530']
ENSP00000391942,unknown
ENSP00000263246,unknown
ENSP00000379891,['hsa04142']
ENSP00000388169,"['hsa04144', 'hsa04666']"
ENSP00000228825,"['hsa04144', 'hsa04666']"
ENSP00000408411,unknown
ENSP00000441158,unknown
ENSP00000264896,['hsa04142']
ENSP00000360108,['hsa04144']
ENSP00000419422,"['hsa04020', 'hsa04022', 'hsa04072', 'hsa04080', 'hsa04371', 'hsa04614', 'hsa04924', 'hsa04925', 'hsa04927']"
ENSP00000001008,['hsa04915']
ENSP00000350815,unknown
ENSP00000383063,unknown
ENSP00000431512,unknown
ENSP00000231509,['hsa04080']
ENSP00000340820,['hsa04010']
ENSP00000292169,unknown
ENSP00000254322,['hsa04141']
ENSP00000216479,unknown
ENSP00000319255,unknown
ENSP00000012443,['hsa04010']
ENSP00000405330,"['hsa04915', 'hsa04917', 'hsa04919']"
ENSP00000359385,unknown
ENSP00000263918,unknown
ENSP00000370343,['hsa04659']
ENSP00000368632,"['hsa04658', 'hsa04659', 'hsa04928']"
ENSP00000357709,unknown
ENSP00000262719,['hsa04151']
ENSP00000444810,['hsa04915']
ENSP00000306614,['hsa03040']
ENSP00000398523,unknown
ENSP00000370737,"['hsa00260', 'hsa00630']"
ENSP00000364802,"['hsa03040', 'hsa04010', 'hsa04141', 'hsa04144', 'hsa04612', 'hsa04915']"
ENSP00000303754,"['hsa04217', 'hsa04218']"
ENSP00000284320,unknown
ENSP00000479618,"['hsa04010', 'hsa04012', 'hsa04110', 'hsa04151', 'hsa04218', 'hsa04310', 'hsa04350', 'hsa04390', 'hsa04550', 'hsa04630', 'hsa04919']"
ENSP00000387365,unknown
ENSP00000222005,['hsa04151']
ENSP00000378199,"['hsa03040', 'hsa04010', 'hsa04141', 'hsa04144', 'hsa04612', 'hsa04915']"
ENSP00000369027,['hsa04929']
ENSP00000355028,unknown
ENSP00000303057,unknown
ENSP00000352603,['hsa04142']
ENSP00000215832,"['hsa04010', 'hsa04012', 'hsa04014', 'hsa04015', 'hsa04022', 'hsa04024', 'hsa04062', 'hsa04066', 'hsa04068', 'hsa04071', 'hsa04072', 'hsa04114', 'hsa04150', 'hsa04151', 'hsa04210', 'hsa04218', 'hsa04350', 'hsa04370', 'hsa04371', 'hsa04510', 'hsa04520', 'hsa04540', 'hsa04550', 'hsa04611', 'hsa04620', 'hsa04621', 'hsa04625', 'hsa04650', 'hsa04657', 'hsa04658', 'hsa04659', 'hsa04660', 'hsa04662', 'hsa04664', 'hsa04666', 'hsa04668', 'hsa04910', 'hsa04912', 'hsa04914', 'hsa04915', 'hsa04916', 'hsa04917', 'hsa04919', 'hsa04921', 'hsa04926', 'hsa04928', 'hsa04929']"
ENSP00000272233,unknown
ENSP00000299767,"['hsa04141', 'hsa04151', 'hsa04657', 'hsa04915', 'hsa04918']"
ENSP00000311857,['hsa04630']
ENSP00000482075,['hsa00590']
ENSP00000247970,['hsa04622']
ENSP00000430598,unknown
ENSP00000269305,"['hsa04010', 'hsa04071', 'hsa04110', 'hsa04115', 'hsa04151', 'hsa04210', 'hsa04216', 'hsa04218', 'hsa04310', 'hsa04919']"
ENSP00000286175,unknown
ENSP00000298248,['hsa00040']
ENSP00000231238,unknown
ENSP00000452871,unknown
ENSP00000362773,unknown
ENSP00000352208,unknown
ENSP00000302961,"['hsa04530', 'hsa04612']"
ENSP00000335153,"['hsa04141', 'hsa04151', 'hsa04217', 'hsa04612', 'hsa04621', 'hsa04657', 'hsa04659', 'hsa04914', 'hsa04915']"
ENSP00000318687,['hsa04141']
ENSP00000360609,"['hsa04141', 'hsa04151', 'hsa04217', 'hsa04612', 'hsa04621', 'hsa04657', 'hsa04659', 'hsa04914', 'hsa04915']"
ENSP00000361066,"['hsa04915', 'hsa04919']"
ENSP00000317985,"['hsa04022', 'hsa04024', 'hsa04062', 'hsa04071', 'hsa04310', 'hsa04510', 'hsa04530', 'hsa04611', 'hsa04670', 'hsa04921']"
ENSP00000286371,"['hsa04022', 'hsa04024', 'hsa04911', 'hsa04918', 'hsa04919', 'hsa04925']"
ENSP00000299886,unknown
ENSP00000377970,unknown
ENSP00000351646,unknown
ENSP00000385824,"['hsa04062', 'hsa04068', 'hsa04151', 'hsa04152', 'hsa04218', 'hsa04917']"
ENSP00000246957,unknown
ENSP00000298832,unknown
ENSP00000220592,unknown
ENSP00000354558,"['hsa04012', 'hsa04066', 'hsa04072', 'hsa04150', 'hsa04151', 'hsa04152', 'hsa04218', 'hsa04371', 'hsa04630', 'hsa04659', 'hsa04910', 'hsa04919', 'hsa04920']"
ENSP00000263253,"['hsa04024', 'hsa04066', 'hsa04068', 'hsa04110', 'hsa04310', 'hsa04330', 'hsa04350', 'hsa04520', 'hsa04630', 'hsa04916', 'hsa04919', 'hsa04922']"
ENSP00000250448,unknown
ENSP00000364805,"['hsa03040', 'hsa04010', 'hsa04141', 'hsa04144', 'hsa04612', 'hsa04915']"
ENSP00000415556,unknown
ENSP00000343925,"['hsa04915', 'hsa04917', 'hsa04929']"
ENSP00000451828,"['hsa04010', 'hsa04012', 'hsa04014', 'hsa04015', 'hsa04022', 'hsa04024', 'hsa04062', 'hsa04066', 'hsa04068', 'hsa04071', 'hsa04072', 'hsa04150', 'hsa04151', 'hsa04152', 'hsa04210', 'hsa04218', 'hsa04370', 'hsa04371', 'hsa04510', 'hsa04550', 'hsa04611', 'hsa04620', 'hsa04625', 'hsa04630', 'hsa04660', 'hsa04662', 'hsa04664', 'hsa04666', 'hsa04668', 'hsa04910', 'hsa04914', 'hsa04915', 'hsa04917', 'hsa04919', 'hsa04920', 'hsa04922', 'hsa04923', 'hsa04926', 'hsa04929']"
ENSP00000263038,['hsa04146']
ENSP00000337501,unknown
ENSP00000284981,unknown
ENSP00000325120,"['hsa04114', 'hsa04914', 'hsa04915']"
ENSP00000262839,['hsa04929']
ENSP00000219548,"['hsa04120', 'hsa04141']"
ENSP00000263025,"['hsa04010', 'hsa04012', 'hsa04014', 'hsa04015', 'hsa04022', 'hsa04024', 'hsa04062', 'hsa04066', 'hsa04068', 'hsa04071', 'hsa04072', 'hsa04114', 'hsa04150', 'hsa04151', 'hsa04210', 'hsa04218', 'hsa04350', 'hsa04370', 'hsa04371', 'hsa04510', 'hsa04520', 'hsa04540', 'hsa04550', 'hsa04611', 'hsa04620', 'hsa04621', 'hsa04625', 'hsa04650', 'hsa04657', 'hsa04658', 'hsa04659', 'hsa04660', 'hsa04662', 'hsa04664', 'hsa04666', 'hsa04668', 'hsa04910', 'hsa04912', 'hsa04914', 'hsa04915', 'hsa04916', 'hsa04917', 'hsa04919', 'hsa04921', 'hsa04926', 'hsa04928', 'hsa04929']"
ENSP00000363822,['hsa04114']
ENSP00000419313,['hsa04929']
ENSP00000234701,['hsa04924']
ENSP00000462729,unknown
ENSP00000401645,unknown
ENSP00000364801,unknown
ENSP00000369071,unknown
ENSP00000222254,unknown
ENSP00000349467,unknown
ENSP00000371278,unknown
ENSP00000369461,"['hsa00071', 'hsa04146']"
ENSP00000001146,['hsa00830']
ENSP00000425497,unknown
ENSP00000304845,"['hsa00040', 'hsa00053', 'hsa00140', 'hsa00830', 'hsa00860', 'hsa00980', 'hsa00982', 'hsa00983']"
ENSP00000389241,['hsa00830']
ENSP00000478561,unknown
ENSP00000348380,unknown
ENSP00000387683,"['hsa00040', 'hsa00053', 'hsa00140', 'hsa00830', 'hsa00860', 'hsa00980', 'hsa00982', 'hsa00983']"
ENSP00000272427,unknown
ENSP00000371711,unknown
ENSP00000337915,"['hsa00140', 'hsa00591', 'hsa00830', 'hsa00980', 'hsa00982', 'hsa00983']"
ENSP00000362525,"['hsa00040', 'hsa00053', 'hsa00140', 'hsa00830', 'hsa00860', 'hsa00980', 'hsa00982', 'hsa00983']"
ENSP00000303174,"['hsa00040', 'hsa00053', 'hsa00140', 'hsa00830', 'hsa00860', 'hsa00980', 'hsa00982', 'hsa00983']"
ENSP00000231572,['hsa00970']
ENSP00000333188,unknown
ENSP00000337224,['hsa00830']
ENSP00000308032,"['hsa00830', 'hsa00980']"
ENSP00000362513,"['hsa00040', 'hsa00053', 'hsa00140', 'hsa00830', 'hsa00860', 'hsa00980', 'hsa00982', 'hsa00983']"
ENSP00000232219,unknown
ENSP00000482841,unknown
ENSP00000362508,"['hsa00040', 'hsa00053', 'hsa00140', 'hsa00830', 'hsa00860', 'hsa00980', 'hsa00982', 'hsa00983']"
ENSP00000224356,['hsa00830']
ENSP00000475028,unknown
ENSP00000376658,['hsa03440']
ENSP00000341045,"['hsa00040', 'hsa00053', 'hsa00140', 'hsa00830', 'hsa00860', 'hsa00980', 'hsa00982', 'hsa00983']"
ENSP00000304811,"['hsa00040', 'hsa00053', 'hsa00140', 'hsa00830', 'hsa00860', 'hsa00980', 'hsa00982', 'hsa00983']"
ENSP00000301141,"['hsa00232', 'hsa00830', 'hsa00980', 'hsa00982', 'hsa00983']"
ENSP00000222982,"['hsa00140', 'hsa00830', 'hsa00980', 'hsa00982']"
ENSP00000388510,unknown
ENSP00000260682,"['hsa00590', 'hsa00591', 'hsa00830', 'hsa00980', 'hsa00982']"
ENSP00000324648,"['hsa00590', 'hsa00830', 'hsa00980', 'hsa00982']"
ENSP00000268129,unknown
ENSP00000275764,unknown
ENSP00000334276,"['hsa00040', 'hsa00053', 'hsa00140', 'hsa00830', 'hsa00860', 'hsa00980', 'hsa00982', 'hsa00983']"
ENSP00000249750,['hsa00830']
ENSP00000250863,unknown
ENSP00000265403,"['hsa00040', 'hsa00053', 'hsa00140', 'hsa00830', 'hsa00860', 'hsa00980', 'hsa00982', 'hsa00983']"
ENSP00000346768,"['hsa00040', 'hsa00053', 'hsa00140', 'hsa00830', 'hsa00860', 'hsa00980', 'hsa00982', 'hsa00983']"
ENSP00000342007,"['hsa00140', 'hsa00232', 'hsa00380', 'hsa00591', 'hsa00830', 'hsa00980', 'hsa00982']"
ENSP00000240285,['hsa00830']
ENSP00000358903,"['hsa00140', 'hsa04913', 'hsa04917', 'hsa04927']"
ENSP00000332256,"['hsa00010', 'hsa00340', 'hsa00350', 'hsa00360', 'hsa00410', 'hsa00980', 'hsa00982']"
ENSP00000363832,"['hsa00280', 'hsa00350', 'hsa00380', 'hsa00750', 'hsa00760', 'hsa00830', 'hsa00982', 'hsa04630']"
ENSP00000305221,"['hsa00040', 'hsa00053', 'hsa00140', 'hsa00830', 'hsa00860', 'hsa00980', 'hsa00982', 'hsa00983']"
ENSP00000418532,"['hsa00040', 'hsa00053', 'hsa00140', 'hsa00830', 'hsa00860', 'hsa00980', 'hsa00982', 'hsa00983']"
ENSP00000369050,"['hsa00140', 'hsa00380', 'hsa00830', 'hsa00980', 'hsa04913']"
ENSP00000247706,unknown
ENSP00000480571,"['hsa00140', 'hsa00830']"
ENSP00000297785,['hsa00830']
ENSP00000251566,"['hsa00040', 'hsa00053', 'hsa00140', 'hsa00830', 'hsa00860', 'hsa00980', 'hsa00982', 'hsa00983']"
ENSP00000360317,"['hsa00590', 'hsa00591', 'hsa00830', 'hsa00982']"
ENSP00000341021,unknown
ENSP00000285979,['hsa00830']
ENSP00000332296,unknown
ENSP00000456609,unknown
ENSP00000285949,['hsa00830']
ENSP00000299529,unknown
ENSP00000254066,"['hsa04659', 'hsa04915']"
ENSP00000362549,"['hsa00040', 'hsa00053', 'hsa00140', 'hsa00830', 'hsa00860', 'hsa00980', 'hsa00982', 'hsa00983']"
ENSP00000371790,"['hsa04010', 'hsa04014', 'hsa04015', 'hsa04151']"
ENSP00000311095,"['hsa00071', 'hsa00590', 'hsa00830', 'hsa03320']"
ENSP00000320401,"['hsa00040', 'hsa00053', 'hsa00140', 'hsa00830', 'hsa00860', 'hsa00980', 'hsa00982', 'hsa00983']"
