ensembl,gene_exp,Affinity,Class,disease_score,disgenet_score,pathways,kinaseness
ENSP00000039989,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000040584,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000040663,0.0,0.0,0.0,0.0,0.0,['hsa00270'],1.0
ENSP00000040738,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000040877,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000043402,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000044462,0.0,0.0,0.0,0.0,0.0,['hsa03050'],1.0
ENSP00000046087,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000046794,0.0,0.0,0.0,0.0,0.0,"['hsa04015', 'hsa04611', 'hsa04650', 'hsa04660', 'hsa04664']",1.0
ENSP00000052754,0.0,0.0,0.0,0.0,0.0,['hsa04350'],1.0
ENSP00000053243,0.0,0.0,0.0,0.0,0.0,"['hsa04060', 'hsa04672']",1.0
ENSP00000053468,0.0,0.0,0.0,0.0,0.0,['hsa03010'],1.0
ENSP00000053867,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000054650,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000054666,1.0,0.0,0.0,0.0,0.0,"['hsa04130', 'hsa04145']",1.0
ENSP00000054668,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000055077,0.0,0.0,0.0,0.0,0.0,"['hsa03030', 'hsa03420', 'hsa03430']",1.0
ENSP00000055335,0.0,0.0,0.0,0.0,0.0,['hsa04910'],1.0
ENSP00000055682,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000056217,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000056233,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000061240,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000062104,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000064571,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000064724,0.0,0.0,0.0,0.0,0.0,"['hsa04514', 'hsa04530', 'hsa04670']",1.0
ENSP00000064780,0.0,0.0,0.0,0.0,0.0,['hsa04060'],1.0
ENSP00000070846,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000072644,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000072869,0.0,0.0,0.0,0.0,0.0,unknown,2.0
ENSP00000074304,0.0,0.0,0.0,0.0,0.0,"['hsa00562', 'hsa04070']",1.0
ENSP00000075120,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000075503,0.0,0.0,0.0,0.0,0.0,unknown,2.0
ENSP00000078429,0.0,0.0,0.0,0.0,0.0,"['hsa04020', 'hsa04022', 'hsa04540', 'hsa04911', 'hsa04912', 'hsa04925', 'hsa04927', 'hsa04928', 'hsa04929']",1.0
ENSP00000078445,0.0,0.0,0.0,0.0,0.0,"['hsa04022', 'hsa04024', 'hsa04151', 'hsa04152', 'hsa04668', 'hsa04911', 'hsa04915', 'hsa04916', 'hsa04918', 'hsa04922', 'hsa04925', 'hsa04926', 'hsa04927', 'hsa04928']",1.0
ENSP00000080059,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000081029,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000083182,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000084798,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000085068,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000085219,0.0,0.0,0.0,0.0,0.0,"['hsa04514', 'hsa04640', 'hsa04662']",1.0
ENSP00000086933,1.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000155840,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000155858,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000155926,0.0,0.0,0.0,0.0,0.0,unknown,2.0
ENSP00000156084,0.0,0.0,0.0,0.0,0.0,['hsa04622'],1.0
